Entry ID,Contest Name,Contest ID,Entry Fee,CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
5264471302,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,1. Column A lists all of your contest entries for this draftgroup
5264471303,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,2. Your current lineup is listed next to each entry (blank for reservations)
5264471304,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5264471305,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5264471306,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,5. For faster processing only include entries you are changing in the file you upload
5264471307,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,
5264471308,NFL Showdown $50K mini-MAX [150 Entry Max] (IND @ KC),195785966,$0.50,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5264475654,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,TE,Drew Ogletree (44191045),Drew Ogletree,44191045,FLEX,600,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475655,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Brashard Smith (44191100),Brashard Smith,44191100,CPT,600,IND@KC 09/20/2026 08:20PM ET,KC,0
5264475656,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Brashard Smith (44191046),Brashard Smith,44191046,FLEX,400,IND@KC 09/20/2026 08:20PM ET,KC,0
5264475657,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Anderson Castle (44191101),Anderson Castle,44191101,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475658,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Davon Booth (44191102),Davon Booth,44191102,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
5264475659,NFL Showdown $3K Dime Package [Just $0.10!] (IND @ KC),195785968,$0.10,Patrick Mahomes (44191070),Davon Booth (44191048),Josh Downs (44191021),Daniel Jones (44191018),Alec Pierce (44191019),Jonathan Taylor (44191014),,RB,Jaydn Ott (44191103),Jaydn Ott,44191103,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,RB,Nate Carter (44191104),Nate Carter,44191104,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,RB,Ben VanSumeren (44191105),Ben VanSumeren,44191105,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,WR,Nick Westbrook-Ikhine (44191106),Nick Westbrook-Ikhine,44191106,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,WR,Jimmy Holiday (44191107),Jimmy Holiday,44191107,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,WR,D.J. Montgomery (44191108),D.J. Montgomery,44191108,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,WR,Ashton Dulin (44191109),Ashton Dulin,44191109,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,WR,Jeff Caldwell (44191110),Jeff Caldwell,44191110,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,WR,Omari Evans (44191111),Omari Evans,44191111,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,WR,Anthony Gould (44191112),Anthony Gould,44191112,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,WR,Andrew Armstrong (44191113),Andrew Armstrong,44191113,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,TE,Carson Towt (44191114),Carson Towt,44191114,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,TE,Will Mallory (44191115),Will Mallory,44191115,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,TE,John Michael Gyllenborg (44191116),John Michael Gyllenborg,44191116,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,TE,Kenny Fletcher Jr. (44191117),Kenny Fletcher Jr.,44191117,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,TE,James Winchester (44191118),James Winchester,44191118,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,TE,Thomas Odukoya (44191119),Thomas Odukoya,44191119,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,TE,Pharaoh Brown (44191120),Pharaoh Brown,44191120,CPT,300,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,TE,Jared Wiley (44191121),Jared Wiley,44191121,CPT,300,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,RB,Anderson Castle (44191047),Anderson Castle,44191047,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,RB,Davon Booth (44191048),Davon Booth,44191048,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,RB,Jaydn Ott (44191049),Jaydn Ott,44191049,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,RB,Nate Carter (44191050),Nate Carter,44191050,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,RB,Ben VanSumeren (44191051),Ben VanSumeren,44191051,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,WR,Nick Westbrook-Ikhine (44191052),Nick Westbrook-Ikhine,44191052,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,WR,Jimmy Holiday (44191053),Jimmy Holiday,44191053,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,WR,D.J. Montgomery (44191054),D.J. Montgomery,44191054,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,WR,Ashton Dulin (44191055),Ashton Dulin,44191055,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,WR,Jeff Caldwell (44191056),Jeff Caldwell,44191056,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,WR,Omari Evans (44191057),Omari Evans,44191057,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,WR,Anthony Gould (44191058),Anthony Gould,44191058,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,WR,Andrew Armstrong (44191059),Andrew Armstrong,44191059,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,TE,Carson Towt (44191060),Carson Towt,44191060,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,TE,Will Mallory (44191061),Will Mallory,44191061,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,TE,John Michael Gyllenborg (44191062),John Michael Gyllenborg,44191062,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,TE,Kenny Fletcher Jr. (44191063),Kenny Fletcher Jr.,44191063,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,TE,James Winchester (44191064),James Winchester,44191064,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,TE,Thomas Odukoya (44191065),Thomas Odukoya,44191065,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
,,,,,,,,,,,TE,Pharaoh Brown (44191066),Pharaoh Brown,44191066,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0
,,,,,,,,,,,TE,Jared Wiley (44191067),Jared Wiley,44191067,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0
